age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
34,4,183316,11,2,12,1,4,1,0,0,40,39,0
70,4,263261,1,2,1,3,4,1,0,0,36,39,1
39,4,26646,11,2,0,1,4,1,0,0,40,39,0
22,4,159510,11,2,1,3,2,1,0,0,40,4,0
54,4,204343,15,4,0,0,4,1,0,1642,40,28,0
54,4,168765,15,4,2,0,4,1,3468,0,40,39,1
39,4,236736,15,2,12,2,1,1,0,0,40,39,0
34,4,156269,9,0,12,0,2,0,0,0,46,39,1
44,4,165550,9,4,6,1,0,0,0,0,40,39,1
21,4,197181,5,0,3,1,4,1,0,0,40,39,0
48,1,182001,15,2,7,0,2,0,0,0,59,39,1
34,4,209179,11,2,10,1,4,0,0,0,40,39,1
44,4,41512,14,2,0,1,4,1,0,0,22,39,0
44,4,113286,7,4,8,4,4,0,0,0,40,18,1
53,4,213087,11,0,1,5,4,1,0,0,59,9,0
21,4,189419,15,2,0,0,1,0,0,0,40,39,0
43,4,183952,10,2,12,1,4,1,0,0,30,39,0
34,4,188536,10,2,10,2,4,0,3536,1895,40,39,0
34,4,159133,9,2,8,3,4,1,0,0,58,39,0
28,6,28421,15,4,3,1,4,0,0,2365,59,39,1
21,6,112618,11,2,10,1,4,1,0,0,36,39,0
28,4,362843,11,2,14,0,2,1,0,1896,50,39,0
34,4,105430,10,2,14,4,4,0,0,0,31,39,0
62,2,204781,11,2,3,1,2,0,0,0,58,39,0
77,4,237466,15,5,14,5,4,1,0,0,40,39,1
39,6,314801,15,4,4,4,4,0,0,0,59,39,0
49,4,238795,15,2,4,0,2,1,0,0,40,39,0
21,4,92379,1,2,3,1,4,0,7446,0,59,39,1
28,4,197485,11,0,1,0,4,0,0,0,45,39,1
71,4,102745,15,2,4,1,4,0,0,2913,40,39,1
34,4,106571,11,2,1,1,4,1,0,0,40,27,1
27,4,302225,6,0,8,1,4,0,0,0,22,39,1
43,4,359994,11,2,4,3,4,1,0,1648,58,39,0
61,2,163812,9,0,3,1,4,0,0,0,40,39,0
39,4,82092,12,0,14,1,4,1,0,2353,22,39,0
77,7,169880,15,0,0,3,4,1,0,0,40,39,0
53,6,95241,11,4,14,0,1,0,0,0,40,39,1
62,4,168520,9,4,10,2,2,1,15016,0,50,16,1
48,2,137923,11,4,3,1,4,1,0,0,40,39,0
78,4,253526,8,4,11,0,4,0,0,0,40,39,1
44,7,43263,10,4,4,3,4,0,0,0,22,4,0
28,4,217528,9,2,8,1,4,1,0,0,58,39,0
28,4,180444,14,2,12,0,4,0,0,0,22,39,1
38,4,100432,15,0,10,4,2,1,0,0,40,39,0
39,4,239810,15,2,4,2,2,1,0,0,50,39,1
39,4,194838,7,4,1,0,0,0,0,0,40,39,1
44,4,79609,15,2,4,2,4,1,3310,2809,40,14,0
